comment,aspects
"easy, very accessible",['824.account-management.account-access.0']
Just a horrible app with a sign up experience from hell. You need to create some special oddball device ID thing. I immediately trashed the app and will just go the old school paper statements method with these guys...if I decide to keep the account open. The only positive thing about this app was the laughter I got out of reading all the reviews for it. I honestly cannot believe that a bank the size HSBC is this horribly incompetent. Just wow.,['824.account-management.account-access.0']
Downloaded the latest update and it still logs me off as soon as I enter my current account . Who tests these??? IP 6S,"['824.account-management.account-access.0', '824.online-experience.updates-versions.0']"
Since latest update from Apple for the iPhone I’m having trouble logging in and logging out of the Barclays app.,['824.account-management.account-access.0']
"Shockingly bad since the update, I had to reinstall the app and then it don't work at all, connection error codes with in the app but my internet is fine. Lol",['824.online-experience.updates-versions.0']
Great and easy!!! Really enjoy for now,['824.company-brand.general-satisfaction.0']
"The app is good, but the service is quite bad, I buy a blocked account with expatrio, then monese delay around a week in activate my account, afterwards it has been 7 active days and my current account is without any money yet, I have sent at least 4 emails without any reply, currently I'm still waiting for my money",['824.company-brand.general-satisfaction.0']
Best banking app I ever had,['824.company-brand.competitor.0']
Come on,['824.company-brand.general-satisfaction.0']
Propre et précis,"['824.company-brand.convenience.0', '824.company-brand.general-satisfaction.0']"
Works as it should very happy,['824.company-brand.general-satisfaction.0']
"Signed up a couple months ago, had to wait 30 days to unlock my loan and just recently got it. It’s pretty straight forward. You link your bank account and they setup your payments to match your payday. Log in to the app everyday and your membership is basically free. I look at the investment account as kind of like a savings account and On top of that, you build credit with the loan. Sounds like a pretty sweet deal... unless you’re irresponsible with your money and miss your payments and then want to blame it on the lender, like a lot of the bad reviewers here lol. If you can’t pay it back, don’t take the money. Lost a star for subpar customer service though (still tolerable).",['824.account-management.account-access.0']
"I have been a customer for 2 years, I use this account for my daily purchases and purchases on the net via paypal. I am generally satisfied since personally I only had two problems. The first, during a trip to a country in Eastern Europe 2 years ago, my card was simply unrecognized (tested in several distributors) .. I found identical cases on the net at this period. Since then I have returned to this country several times and the problem has been resolved. However, if I would have traveled with the N26 card ... my stay would have been ruined. Second problem: I cannot pay in the Vinci motorway tolls ... I don't know if this is only a problem with my card or not, the reader just does not read it ... the card is not even aspirated ... (tested on several obviously). I also take note of a lack of communication on accounts that were suddenly closed. Abruptly blocking a bank account is serious considering the damage it can cause ... In view of this, I can only recommend N26 as a secondary account.",['824.company-brand.general-satisfaction.0']
"Very good service, easy and smooth processing of all issues.",['824.company-brand.general-satisfaction.0']
I absolutely love money! There is no cutting corners customer service is always great and quick!! Not to mention The Instacash really helps in those difficult times when needed THANK ML😎🦁,['824.company-brand.general-satisfaction.0']
"great so far, no issues",['824.company-brand.general-satisfaction.0']
"Tells me memorable ID is wrong, but clearly isn't. Can't setup Touch ID. Probably shouldn't have sent the email out advertising this one just yet...","['824.account-management.fingerprint-facial-recognition.0', '824.account-management.account-access.0']"
